id,type1simline,type2simline,type3simline,type1simtok,type2simtok,type3simtok,fragment1,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces,fragment2,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces
27364777,,,,0.961749,1,1,833988,pdfsam-gui/src/main/java/org/pdfsam/ui/dashboard/preference/PreferenceRadioButton.java,19,51,33,,183,0,0,833989,pdfsam-gui/src/main/java/org/pdfsam/ui/dashboard/preference/PreferenceCheckBox.java,19,51,33,,183,0,0
27364754,,,,0.90411,0.958904,0.958904,833918,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateModule.java,92,102,11,,70,1,0,833956,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByBookmarksModule.java,120,130,11,,73,0,0
21512841,,,,0.901408,0.957747,0.957747,495219,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateModule.java,92,100,9,,68,1,0,495253,pdfsam-split-by-size/src/main/java/org/pdfsam/splitbysize/SplitBySizeModule.java,116,124,9,,71,1,0
21512781,,,,0.676471,0.735294,0.735294,495219,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateModule.java,92,100,9,,68,1,0,495220,pdfsam-alternate-mix/src/main/java/org/pdfsam/alternatemix/AlternateMixModule.java,139,145,7,,50,1,0
21512817,,,,0.941176,1,1,495219,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateModule.java,92,100,9,,68,1,0,495221,pdfsam-extract/src/main/java/org/pdfsam/extract/ExtractModule.java,96,104,9,,68,1,0
21512811,,,,0.779412,0.867647,0.867647,495219,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateModule.java,92,100,9,,68,1,0,495237,pdfsam-merge/src/main/java/org/pdfsam/merge/MergeModule.java,104,111,8,,59,1,0
24061985,,,,1,1,1,597367,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByBookmarksModule.java,142,155,14,,69,0,1,597369,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitModule.java,140,153,14,,69,0,1
24061984,,,,1,1,1,597367,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByBookmarksModule.java,142,155,14,,69,0,1,597368,pdfsam-split-by-size/src/main/java/org/pdfsam/splitbysize/SplitBySizeModule.java,136,149,14,,69,1,1
24259578,,,,0.755814,0.755814,0.755814,681694,pdfsam-merge/src/main/java/org/pdfsam/merge/MergeSelectionPane.java,62,70,9,,67,0,2,681695,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateSelectionPane.java,61,69,9,,86,0,2
24259534,,,,0.974359,1,1,681636,pdfsam-fx/src/main/java/org/pdfsam/ui/commons/Animations.java,65,68,4,,78,1,0,681637,pdfsam-fx/src/main/java/org/pdfsam/ui/commons/Animations.java,71,74,4,,78,1,0
27364757,,,,0.873016,0.952381,0.952381,833943,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateParametersBuilder.java,92,98,7,,63,0,0,833960,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitByEveryRadioButton.java,104,110,7,,63,0,0
27364755,,,,0.84127,0.904762,0.904762,833943,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateParametersBuilder.java,92,98,7,,63,0,0,833958,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitAfterRadioButton.java,101,107,7,,61,0,0
24259591,,,,0.961039,1,1,681706,pdfsam-fx/src/main/java/org/pdfsam/ui/commons/Animations.java,68,71,4,,77,1,0,681707,pdfsam-fx/src/main/java/org/pdfsam/ui/commons/Animations.java,74,77,4,,77,1,0
24259592,,,,0.884058,0.898551,0.898551,681708,pdfsam-fx/src/main/java/org/pdfsam/ui/selection/multiple/move/MoveType.java,37,40,4,,63,0,2,681709,pdfsam-fx/src/main/java/org/pdfsam/ui/selection/multiple/move/MoveType.java,82,85,4,,69,0,2
27364756,,,,0.873016,0.952381,0.952381,833943,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateParametersBuilder.java,92,98,7,,63,0,0,833959,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitAfterPredefinedSetOfPagesRadioButton.java,99,105,7,,63,0,0
24259551,,,,1,1,1,681654,pdfsam-extract/src/main/java/org/pdfsam/extract/ExtractModule.java,130,137,8,,64,1,1,681655,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateModule.java,121,128,8,,64,1,1
21512820,,,,0.423077,0.519231,0.519231,495230,pdfsam-core/src/main/java/org/pdfsam/support/validation/PositiveIntegerStringValidator.java,30,37,8,,32,1,0,495244,pdfsam-core/src/main/java/org/pdfsam/support/params/ConversionUtils.java,82,88,7,,52,1,0
21512793,,,,0.590909,0.681818,0.681818,495230,pdfsam-core/src/main/java/org/pdfsam/support/validation/PositiveIntegerStringValidator.java,30,37,8,,32,1,0,495231,pdfsam-core/src/main/java/org/pdfsam/support/filter/FileFilterType.java,80,86,7,,44,1,0
21512792,,,,0.415094,0.622642,0.622642,495228,pdfsam-core/src/main/java/org/pdfsam/support/XmlUtils.java,39,47,9,,53,1,0,495229,pdfsam-core/src/main/java/org/pdfsam/support/filter/FileFilterType.java,60,68,9,,41,1,0
24061965,,,,1,1,1,597337,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitModule.java,173,180,8,,65,0,1,597339,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByBookmarksModule.java,180,187,8,,65,0,1
24061966,,,,1,1,1,597337,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitModule.java,173,180,8,,65,0,1,597340,pdfsam-extract/src/main/java/org/pdfsam/extract/ExtractModule.java,170,177,8,,65,1,1
24061967,,,,1,1,1,597337,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitModule.java,173,180,8,,65,0,1,597341,pdfsam-rotate/src/main/java/org/pdfsam/rotate/RotateModule.java,162,169,8,,65,1,1
24061964,,,,1,1,1,597337,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitModule.java,173,180,8,,65,0,1,597338,pdfsam-split-by-size/src/main/java/org/pdfsam/splitbysize/SplitBySizeModule.java,171,178,8,,65,1,1
27364716,,,,0.839286,0.946429,0.946429,833909,pdfsam-alternate-mix/src/main/java/org/pdfsam/alternatemix/AlternateMixModule.java,135,143,9,,56,2,0,833910,pdfsam-merge/src/main/java/org/pdfsam/merge/MergeModule.java,100,108,9,,56,2,0
27364725,,,,0.84127,0.849206,0.849206,833922,pdfsam-split-by-size/src/main/java/org/pdfsam/splitbysize/SplitBySizeModule.java,94,115,22,,108,1,1,833923,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByBookmarksModule.java,92,114,23,,126,0,1
27364767,,,,0.932203,0.966102,0.966102,833941,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByOutlineLevelParametersBuilder.java,49,57,9,,57,1,2,833973,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitAfterPredefinedSetOfPagesRadioButton.java,102,110,9,,59,0,2
27364764,,,,0.932203,0.966102,0.966102,833941,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByOutlineLevelParametersBuilder.java,49,57,9,,57,1,2,833969,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitByEveryRadioButton.java,107,115,9,,59,0,2
27364795,,,,0.958904,0.965753,0.965753,834013,pdfsam-fx/src/main/java/org/pdfsam/ui/io/BrowsableDirectoryField.java,88,106,19,,141,0,0,834014,pdfsam-fx/src/main/java/org/pdfsam/ui/io/BrowsableFileField.java,126,144,19,,146,0,0
28820976,,,,0.328125,0.546875,0.546875,1276736,pdfsam-fx/src/main/java/org/pdfsam/ui/selection/multiple/SelectionTableRowData.java,50,57,8,,64,1,0,1276737,pdfsam-service/src/main/java/org/pdfsam/module/ModuleUsage.java,70,76,7,,44,1,0
27364768,,,,0.932203,0.966102,0.966102,833941,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByOutlineLevelParametersBuilder.java,49,57,9,,57,1,2,833974,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitAfterRadioButton.java,104,112,9,,59,0,2
24259561,,,,0.941176,0.964706,0.964706,681669,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitAfterRadioButton.java,101,111,11,,83,0,1,681670,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitByEveryRadioButton.java,104,114,11,,85,0,1
24259562,,,,0.941176,0.964706,0.964706,681669,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitAfterRadioButton.java,101,111,11,,83,0,1,681671,pdfsam-split-by-size/src/main/java/org/pdfsam/splitbysize/SplitBySizeParametersBuilder.java,40,50,11,,85,1,1
24062001,,,,1,1,1,597395,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitModule.java,130,154,25,,139,0,1,597396,pdfsam-split-by-size/src/main/java/org/pdfsam/splitbysize/SplitBySizeModule.java,126,150,25,,139,1,1
21512814,,,,0.325,0.46875,0.46875,495238,pdfsam-merge/src/main/java/org/pdfsam/merge/MergeModule.java,114,123,10,,81,1,0,495240,pdfsam-gui/src/main/java/org/pdfsam/ui/notification/NotificationsController.java,125,141,17,,160,1,0
21512813,,,,0.814815,0.82716,0.82716,495238,pdfsam-merge/src/main/java/org/pdfsam/merge/MergeModule.java,114,123,10,,81,1,0,495239,pdfsam-alternate-mix/src/main/java/org/pdfsam/alternatemix/AlternateMixModule.java,117,125,9,,67,1,0
21512848,,,,0.656716,0.776119,0.776119,495256,pdfsam-service/src/main/java/org/pdfsam/ui/DefaultStageService.java,48,56,9,,67,1,0,495257,pdfsam-service/src/main/java/org/pdfsam/ui/DefaultStageService.java,73,81,9,,52,1,0
21512854,,,,0.641791,0.776119,0.776119,495256,pdfsam-service/src/main/java/org/pdfsam/ui/DefaultStageService.java,48,56,9,,67,1,0,495262,pdfsam-service/src/main/java/org/pdfsam/news/DefaultNewsService.java,93,101,9,,52,1,0
27364747,,,,0.738636,0.784091,0.784091,833952,pdfsam-extract/src/main/java/org/pdfsam/extract/ExtractModule.java,103,116,14,,70,2,0,833953,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByBookmarksModule.java,92,106,15,,88,0,0
27364766,,,,0.954023,0.965517,0.965517,833968,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitAfterRadioButton.java,101,113,13,,85,0,3,833972,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitAfterPredefinedSetOfPagesRadioButton.java,99,111,13,,87,0,3
28820974,,,,0.672414,0.672414,0.672414,1276732,pdfsam-gui/src/main/java/org/pdfsam/ui/dialog/CreateOutputDirectoryDialogController.java,54,63,10,,58,1,0,1276733,pdfsam-gui/src/main/java/org/pdfsam/ui/dialog/CreateOutputDirectoryDialogController.java,55,60,6,,39,1,1
24259543,,,,0.931035,0.965517,0.965517,681645,pdfsam-simple-split/src/main/java/org/pdfsam/split/SplitAfterRadioButton.java,104,111,8,,58,0,1,681647,pdfsam-split-by-bookmarks/src/main/java/org/pdfsam/splitbybookmarks/SplitByOutlineLevelParametersBuilder.java,49,56,8,,56,1,1
