id,type1simline,type2simline,type3simline,type1simtok,type2simtok,type3simtok,fragment1,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces,fragment2,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces
28917551,,,,0.256098,0.353659,0.353659,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,533607,source/net/filebot/win/WinAppUtilities.java,21,32,12,,82,1,0
22830580,,,,0.605263,0.710526,0.710526,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,533649,source/net/filebot/util/prefs/FilePreferences.java,83,89,7,,32,1,0
28917596,,,,0.442623,0.540984,0.540984,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,533529,source/net/filebot/ui/sfv/ChecksumCell.java,155,170,16,,61,1,0
28418353,,,,0.936508,0.968254,0.968254,1238419,source/net/filebot/web/AnidbClient.java,1,7,7,,63,0,0,1238420,source/net/filebot/subtitle/SubtitleUtilities.java,1,7,7,,61,0,0
28917600,,,,0.558824,0.558824,0.558824,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,1285421,source/net/filebot/archive/ExtractCallback.java,64,78,15,,68,1,0
22830355,,,,0.5,0.58,0.58,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,533504,source/net/filebot/ui/transfer/ByteBufferTransferable.java,32,43,12,,50,1,0
22830356,,,,0.348485,0.424242,0.424242,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,533539,source/net/filebot/ui/AbstractSearchPanel.java,92,102,11,,66,3,0
22830330,,,,0.470588,0.568627,0.568627,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,533532,source/net/filebot/format/PropertyBindings.java,50,60,11,,51,1,0
22830533,,,,0.578947,0.657895,0.657895,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,533543,source/net/filebot/web/OpenSubtitlesXmlRpc.java,74,83,10,,34,1,0
28917518,,,,0.354571,0.526316,0.526316,1285373,source/net/filebot/ui/rename/RenameModel.java,78,116,39,,267,1,0,1285375,source/net/filebot/ui/LanguageComboBox.java,27,84,58,,361,1,0
28917601,,,,0.536585,0.682927,0.682927,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,533503,source/net/filebot/ui/list/ListItem.java,26,35,10,,41,1,0
28917602,,,,0.240964,0.325301,0.325301,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,1285387,source/net/filebot/ui/sfv/ChecksumTable.java,47,64,18,,83,1,0
22830354,,,,0.5,0.586957,0.586957,533480,source/net/filebot/archive/ExtractCallback.java,65,73,9,,38,1,0,533531,source/net/filebot/MetaAttributeView.java,129,137,9,,46,1,0
28917517,,,,0.303371,0.498127,0.498127,1285373,source/net/filebot/ui/rename/RenameModel.java,78,116,39,,267,1,0,1285374,source/net/filebot/similarity/SeriesNameMatcher.java,81,112,32,,207,1,0
22830318,,,,0.419355,0.564516,0.564516,533521,source/net/filebot/ui/subtitle/upload/SubtitleMappingTableModel.java,25,31,7,,62,1,0,533522,source/net/filebot/similarity/Normalization.java,94,99,6,,53,1,0
28418343,,,,0.785714,0.814286,0.814286,1238400,source/net/filebot/util/ui/ShadowBorder.java,84,96,13,,70,2,0,1238401,source/net/filebot/util/ui/notification/SeparatorBorder.java,106,119,14,,57,2,0
22830319,,,,0.435484,0.596774,0.596774,533521,source/net/filebot/ui/subtitle/upload/SubtitleMappingTableModel.java,25,31,7,,62,1,0,533523,source/net/filebot/similarity/Normalization.java,101,106,6,,58,1,0
28917646,,,,0.2,0.277778,0.277778,533516,source/net/filebot/ui/sfv/ChecksumComputationService.java,76,82,7,,28,1,0,1285439,source/net/filebot/ui/sfv/ChecksumTable.java,72,86,15,,90,1,0
22830313,,,,0.421053,0.578947,0.578947,533516,source/net/filebot/ui/sfv/ChecksumComputationService.java,76,82,7,,28,1,0,533517,source/net/filebot/cli/FolderWatchService.java,74,81,8,,38,1,0
