id,type1simline,type2simline,type3simline,type1simtok,type2simtok,type3simtok,fragment1,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces,fragment2,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces
26806042,,,,0.977528,1,1,756908,src/com/levelonelabs/aimbot/modules/ListModule.java,179,187,9,,89,1,2,756909,src/com/levelonelabs/aimbot/modules/ListModule.java,209,218,10,,89,1,2
22835179,,,,0.705882,0.715686,0.715686,535065,src/com/levelonelabs/aimbot/modules/MessengerModule.java,157,174,18,,102,1,0,535066,src/com/levelonelabs/aim/example/AIMReceptionist.java,88,102,15,,99,2,0
26806018,,,,0.982143,1,1,756875,src/com/levelonelabs/aim/AIMClient.java,935,942,8,,56,1,1,756877,src/com/levelonelabs/aim/AIMClient.java,986,993,8,,56,1,1
26806017,,,,0.982143,1,1,756875,src/com/levelonelabs/aim/AIMClient.java,935,942,8,,56,1,1,756876,src/com/levelonelabs/aim/AIMClient.java,962,969,8,,56,1,1
26806019,,,,0.982143,1,1,756875,src/com/levelonelabs/aim/AIMClient.java,935,942,8,,56,1,1,756878,src/com/levelonelabs/aim/AIMClient.java,1011,1018,8,,56,1,1
26806048,,,,0.831858,0.849558,0.849558,534941,src/com/levelonelabs/aim/AIMClient.java,1004,1018,15,,96,1,0,756901,src/com/levelonelabs/aim/AIMClient.java,926,942,17,,113,1,1
28918732,,,,0.232759,0.331897,0.331897,534941,src/com/levelonelabs/aim/AIMClient.java,1004,1018,15,,96,1,0,1285814,src/com/levelonelabs/aimbot/modules/TelnetModule.java,217,262,46,,232,1,0
22835178,,,,0.696078,0.705882,0.705882,535048,src/com/levelonelabs/aim/example/AIMReceptionist.java,89,101,13,,87,2,0,535065,src/com/levelonelabs/aimbot/modules/MessengerModule.java,157,174,18,,102,1,0
22835089,,,,1,1,1,535042,src/com/levelonelabs/aimbot/modules/MoviesModule.java,338,344,7,,24,1,1,535043,src/com/levelonelabs/aimbot/modules/MoviesModule.java,360,366,7,,24,1,1
22834867,,,,0.650485,0.679612,0.679612,534932,src/com/levelonelabs/aim/AIMClient.java,933,942,10,,73,1,0,534934,src/com/levelonelabs/aim/AIMClient.java,953,969,17,,103,1,0
22834954,,,,0.970588,1,1,534967,src/com/levelonelabs/aimbot/modules/ScheduleModule.java,426,433,8,,68,1,0,534968,src/com/levelonelabs/aimbot/modules/ReminderModule.java,242,249,8,,68,1,0
28918753,,,,0.353535,0.575758,0.575758,1285845,src/com/levelonelabs/aimbot/modules/WeatherModule.java,135,148,14,,86,1,0,1285846,src/com/levelonelabs/aimbot/modules/SkiReportModule.java,241,252,12,,99,1,0
24079650,,,,1,1,1,621191,src/com/levelonelabs/aimbot/modules/UserInformationModule.java,213,220,8,,56,1,2,621192,src/com/levelonelabs/aimbot/modules/UserInformationModule.java,177,184,8,,56,1,2
26806035,,,,0.910448,0.925373,0.925373,756895,src/com/levelonelabs/aimbot/modules/BuddyManagementModule.java,153,168,16,,125,1,1,756896,src/com/levelonelabs/aimbot/modules/BuddyManagementModule.java,172,188,17,,134,1,1
22835124,,,,0.436782,0.643678,0.643678,534971,src/com/levelonelabs/aimbot/modules/ScheduleModule.java,482,493,12,,87,1,0,535056,src/com/levelonelabs/aim/AIMClient.java,601,613,13,,69,1,0
22834956,,,,0.678161,0.735632,0.735632,534971,src/com/levelonelabs/aimbot/modules/ScheduleModule.java,482,493,12,,87,1,0,534972,src/com/levelonelabs/aimbot/modules/ReminderModule.java,274,281,8,,64,1,0
22835160,,,,0.965517,0.988506,0.988506,534971,src/com/levelonelabs/aimbot/modules/ScheduleModule.java,482,493,12,,87,1,0,534973,src/com/levelonelabs/aimbot/modules/ScheduleModule.java,504,515,12,,87,1,0
