id,type1simline,type2simline,type3simline,type1simtok,type2simtok,type3simtok,fragment1,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces,fragment2,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces
28821027,,,,0.295918,0.44898,0.44898,1276763,src/jmemorize/util/EscapableFrame.java,39,58,20,,98,1,0,1276764,src/jmemorize/gui/swing/panels/TimerPanel.java,100,118,19,,68,1,0
21513632,,,,0.470588,0.764706,0.764706,495561,src/jmemorize/gui/swing/actions/edit/CutAction.java,44,49,6,,17,1,0,495563,src/jmemorize/gui/swing/widgets/CardTable.java,299,304,6,,14,1,0
21513795,,,,0.529412,0.764706,0.764706,495561,src/jmemorize/gui/swing/actions/edit/CutAction.java,44,49,6,,17,1,0,495621,src/jmemorize/gui/swing/actions/OpenURLAction.java,18,23,6,,14,1,0
21514000,,,,0.967742,1,1,495688,src/jmemorize/core/Category.java,258,264,7,,31,1,0,495711,src/jmemorize/core/Category.java,305,311,7,,31,1,0
21513693,,,,0.705882,0.823529,0.823529,495561,src/jmemorize/gui/swing/actions/edit/CutAction.java,44,49,6,,17,1,0,495574,src/jmemorize/gui/swing/actions/edit/PasteAction.java,45,50,6,,14,1,0
21513995,,,,0.967742,1,1,495688,src/jmemorize/core/Category.java,258,264,7,,31,1,0,495690,src/jmemorize/core/Category.java,278,284,7,,31,1,0
21513649,,,,0.342105,0.526316,0.526316,495498,src/jmemorize/gui/swing/panels/CardSidePanel.java,375,386,12,,38,1,0,495559,src/jmemorize/gui/swing/actions/edit/EditCardAction.java,43,49,7,,21,1,0
21513606,,,,0.5,0.636364,0.636364,495498,src/jmemorize/gui/swing/panels/CardSidePanel.java,375,386,12,,38,1,0,495499,src/jmemorize/gui/swing/panels/CardSidePanel.java,359,369,11,,44,1,0
21513605,,,,0.473684,0.657895,0.657895,495498,src/jmemorize/gui/swing/panels/CardSidePanel.java,375,386,12,,38,1,0,495527,src/jmemorize/gui/swing/actions/RenameCategoryAction.java,46,54,9,,32,1,0
21513886,,,,0.638889,0.805556,0.805556,495532,src/jmemorize/core/learn/LearnHistory.java,333,346,14,,36,1,0,495640,src/jmemorize/core/ImageRepository.java,246,255,10,,31,1,0
21514022,,,,0.638889,0.805556,0.805556,495532,src/jmemorize/core/learn/LearnHistory.java,333,346,14,,36,1,0,495701,src/jmemorize/core/io/XmlBuilder.java,682,691,10,,33,1,0
21513590,,,,0.387755,0.510204,0.510204,495525,src/jmemorize/core/FormattedText.java,217,225,9,,31,1,0,495531,src/jmemorize/core/learn/LearnHistory.java,140,150,11,,49,1,0
21513894,,,,0.647059,0.794118,0.794118,495525,src/jmemorize/core/FormattedText.java,217,225,9,,31,1,0,495667,src/jmemorize/core/learn/LearnHistory.java,604,613,10,,34,1,0
28821026,,,,0.811594,0.811594,0.811594,1276761,src/jmemorize/gui/Localization.java,269,284,16,,69,1,0,1276762,src/jmemorize/gui/Localization.java,271,279,9,,56,1,0
21513765,,,,0.75,0.861111,0.861111,495532,src/jmemorize/core/learn/LearnHistory.java,333,346,14,,36,1,0,495618,src/jmemorize/gui/Localization.java,193,203,11,,33,1,0
21513888,,,,0.565217,0.695652,0.695652,495596,src/jmemorize/core/learn/LearnHistory.java,567,572,6,,16,1,0,495635,src/jmemorize/gui/swing/panels/LearnPanel.java,146,153,8,,23,1,0
21513969,,,,0.5,0.6875,0.6875,495696,src/jmemorize/gui/Localization.java,217,222,6,,24,1,0,495697,src/jmemorize/util/NaturalOrderComparator.java,128,133,6,,32,1,0
21513910,,,,0.588235,0.764706,0.764706,495596,src/jmemorize/core/learn/LearnHistory.java,567,572,6,,16,1,0,495670,src/jmemorize/gui/swing/panels/CardPanel.java,557,562,6,,17,1,0
21513901,,,,0.588235,0.764706,0.764706,495596,src/jmemorize/core/learn/LearnHistory.java,567,572,6,,16,1,0,495669,src/jmemorize/gui/swing/panels/CardPanel.java,549,554,6,,17,1,0
21513890,,,,0.875,1,1,495596,src/jmemorize/core/learn/LearnHistory.java,567,572,6,,16,1,0,495597,src/jmemorize/core/learn/LearnHistory.java,592,597,6,,16,1,0
21513573,,,,0.913043,0.913043,0.913043,495509,src/jmemorize/gui/swing/frames/FindFrame.java,441,448,8,,69,1,0,495510,src/jmemorize/gui/swing/panels/DeckTablePanel.java,147,153,7,,63,1,0
